order_id,customer_id,product,quantity,unit_price,order_ts,region
ORD1001,CUST01,Wireless Mouse,2,19.99,2026-01-05 10:15:00,US-East
ORD1002,CUST02,Mechanical Keyboard,1,89.50,2026-01-05 11:02:00,US-West
ORD1003,CUST03,USB-C Hub,3,24.00,2026-01-06 09:45:00,EU-Central
ORD1004,CUST01,Wireless Mouse,,19.99,2026-01-06 14:20:00,US-East
ORD1005,CUST04,Monitor Stand,1,45.75,2026-01-07 08:30:00,APAC
ORD1002,CUST02,Mechanical Keyboard,1,89.50,2026-01-05 11:02:00,US-West
ORD1006,CUST05,Webcam,-1,32.00,2026-01-07 16:10:00,US-East
ORD1007,,Laptop Sleeve,2,15.25,2026-01-08 12:00:00,EU-Central
ORD1008,CUST06,Monitor Stand,4,45.75,2026-01-08 13:40:00,APAC
ORD1009,CUST07,Wireless Mouse,1,19.99,2026-01-09 10:05:00,US-West
